companyName,companyCode,averageSalesGrowthRate,averageOperatingProfitsGrowthRate,growthRatesPoints
키다리스튜디오,020120,0.85,1.0,0
FSN,214270,0.28,0.7,1
티사이언티픽,057680,0.23,0.6,1
줌인터넷,239340,0.18,0.99,3
카카오,035720,0.38,0.71,1
핑거스토리,417180,0.46,1.0,3
플리토,300080,1.0,0.66,2
NAVER,035420,0.3,0.63,1
THE E&M,089230,0.22,0.57,1
자이언트스텝,289220,0.35,0.67,1
아프리카TV,067160,0.31,0.68,1
캐리소프트,317530,1.0,0.65,2
