companyName,companyCode,operatingProfitsFourYearsAgo,operatingProfitsThreeYearsAgo,operatingProfitsTwoYearsAgo,operatingProfitsOneYearsAgo
한국전력,015760,-12765.0,40863.0,-58601.0,-314659.0
한전산업,130660,210.0,190.0,175.0,0.0
한전기술,052690,441.0,296.0,101.0,161.0
한전KPS,051600,1939.0,1354.0,1240.0,1121.0
