companyName,companyCode,operatingProfitsFourYearsAgo,operatingProfitsThreeYearsAgo,operatingProfitsTwoYearsAgo,operatingProfitsOneYearsAgo
골드퍼시픽,038530,-34.0,-9.0,-48.0
서울리거,043710,-88.0,-149.0,29.0
지씨셀,144510
신테카바이오,226330,-52.0,-71.0,-89.0
네오펙트,290660,-136.0,-142.0,-77.0
