companyName,companyCode,date,postPerDay,tradingPerDay
줌인터넷,239340,2023.02.17,25,588534.0
줌인터넷,239340,2023.02.16,14,645364.0
줌인터넷,239340,2023.02.15,36,2236442.0
줌인터넷,239340,2023.02.14,25,1265178.0
줌인터넷,239340,2023.02.13,47,4708077.0
줌인터넷,239340,2023.02.10,18,1634457.0
줌인터넷,239340,2023.02.09,65,7322034.0
줌인터넷,239340,2023.02.08,29,4905071.0
줌인터넷,239340,2023.02.07,49,3978416.0
줌인터넷,239340,2023.02.06,44,2445812.0
줌인터넷,239340,2023.02.03,175,20197735.0
줌인터넷,239340,2023.02.02,28,2150027.0
줌인터넷,239340,2023.02.01,24,2328383.0
줌인터넷,239340,2023.01.31,76,4435705.0
줌인터넷,239340,2023.01.30,86,18627366.0
줌인터넷,239340,2023.01.27,65,10626163.0
줌인터넷,239340,2023.01.26,55,3049226.0
줌인터넷,239340,2023.01.25,60,9110140.0
줌인터넷,239340,2023.01.20,22,1018273.0
줌인터넷,239340,2023.01.19,46,1614375.0
줌인터넷,239340,2023.01.18,49,3034659.0
줌인터넷,239340,2023.01.17,58,8177779.0
줌인터넷,239340,2023.01.16,114,25920955.0
줌인터넷,239340,2023.01.13,344,31921825.0
줌인터넷,239340,2023.01.12,113,4807764.0
줌인터넷,239340,2023.01.11,23,4116811.0
줌인터넷,239340,2023.01.10,18,1668705.0
줌인터넷,239340,2023.01.09,51,10750414.0
줌인터넷,239340,2023.01.06,40,1384045.0
줌인터넷,239340,2023.01.05,9,799002.0
줌인터넷,239340,2023.01.04,15,1578330.0
줌인터넷,239340,2023.01.03,18,356806.0
줌인터넷,239340,2023.01.02,4,270440.0
줌인터넷,239340,2022.12.29,5,196483.0
줌인터넷,239340,2022.12.28,7,309355.0
줌인터넷,239340,2022.12.27,10,575587.0
줌인터넷,239340,2022.12.26,8,607833.0
줌인터넷,239340,2022.12.23,5,896320.0
줌인터넷,239340,2022.12.22,86,8884814.0
줌인터넷,239340,2022.12.21,6,247348.0
줌인터넷,239340,2022.12.20,11,1481645.0
줌인터넷,239340,2022.12.19,6,1717763.0
줌인터넷,239340,2022.12.13,1,72793.0
줌인터넷,239340,2022.12.07,1,85536.0
줌인터넷,239340,2022.12.06,1,124740.0
줌인터넷,239340,2022.12.02,1,165645.0
줌인터넷,239340,2022.12.01,6,824381.0
줌인터넷,239340,2022.11.30,4,163515.0
줌인터넷,239340,2022.11.29,2,76859.0
줌인터넷,239340,2022.11.28,9,158755.0
줌인터넷,239340,2022.11.25,2,105352.0
줌인터넷,239340,2022.11.24,2,183424.0
줌인터넷,239340,2022.11.23,1,109021.0
줌인터넷,239340,2022.11.22,4,163477.0
줌인터넷,239340,2022.11.21,6,208582.0
줌인터넷,239340,2022.11.18,10,1244764.0
줌인터넷,239340,2022.11.17,7,641744.0
줌인터넷,239340,2022.11.16,44,10727682.0
줌인터넷,239340,2022.11.15,2,482445.0
줌인터넷,239340,2022.11.14,15,1825451.0
줌인터넷,239340,2022.11.11,4,394286.0
줌인터넷,239340,2022.11.10,19,1659678.0
줌인터넷,239340,2022.11.09,1,202074.0
줌인터넷,239340,2022.11.08,2,243722.0
줌인터넷,239340,2022.11.07,3,190608.0
줌인터넷,239340,2022.11.04,1,209193.0
줌인터넷,239340,2022.11.02,5,933582.0
줌인터넷,239340,2022.11.01,21,5688497.0
줌인터넷,239340,2022.10.27,3,160266.0
줌인터넷,239340,2022.10.26,6,1241427.0
줌인터넷,239340,2022.10.25,11,1254860.0
줌인터넷,239340,2022.10.21,8,350823.0
줌인터넷,239340,2022.10.20,9,554150.0
줌인터넷,239340,2022.10.19,22,4167125.0
줌인터넷,239340,2022.10.18,77,10554419.0
줌인터넷,239340,2022.10.17,51,7831120.0
줌인터넷,239340,2022.10.13,6,184233.0
줌인터넷,239340,2022.10.12,2,88347.0
줌인터넷,239340,2022.10.11,1,173993.0
줌인터넷,239340,2022.10.07,2,69858.0
줌인터넷,239340,2022.10.06,2,88431.0
줌인터넷,239340,2022.10.04,2,93664.0
줌인터넷,239340,2022.09.30,3,117663.0
줌인터넷,239340,2022.09.29,2,179382.0
줌인터넷,239340,2022.09.28,4,234444.0
줌인터넷,239340,2022.09.27,3,183209.0
줌인터넷,239340,2022.09.26,3,234432.0
줌인터넷,239340,2022.09.23,1,117356.0
줌인터넷,239340,2022.09.22,4,158094.0
줌인터넷,239340,2022.09.21,3,52979.0
줌인터넷,239340,2022.09.20,2,80346.0
줌인터넷,239340,2022.09.19,5,117507.0
줌인터넷,239340,2022.09.16,1,112581.0
줌인터넷,239340,2022.09.15,3,61857.0
