companyName,companyCode,date,postPerDay,tradingPerDay
카카오,035720,2023.02.17,0.22,0.05
카카오,035720,2023.02.16,0.36,0.29
카카오,035720,2023.02.15,0.42,0.4
카카오,035720,2023.02.14,0.4,0.22
카카오,035720,2023.02.13,0.73,0.73
카카오,035720,2023.02.10,1.0,1.0
카카오,035720,2023.02.09,0.46,0.56
카카오,035720,2023.02.08,0.32,0.43
카카오,035720,2023.02.07,0.26,0.41
카카오,035720,2023.02.06,0.07,0.23
카카오,035720,2023.02.03,0.22,0.91
카카오,035720,2023.02.02,0.13,0.39
카카오,035720,2023.02.01,0.02,0.05
카카오,035720,2023.01.31,0.03,0.25
카카오,035720,2023.01.30,0.01,0.13
카카오,035720,2023.01.27,0.09,0.3
카카오,035720,2023.01.26,0.0,0.07
카카오,035720,2023.01.25,0.05,0.16
카카오,035720,2023.01.20,0.02,1
카카오,035720,2023.01.19,0.08,0.08
카카오,035720,2023.01.18,0.06,0.07
카카오,035720,2023.01.17,0.39,0.46
카카오,035720,2023.01.16,0.17,0.4
카카오,035720,2023.01.13,0.11,0.22
카카오,035720,2023.01.12,1,0.21
