companyName,companyCode,date,postPerDay,tradingPerDay
한전KPS,051600,2023.02.08,0.63,0.16
한전KPS,051600,2023.02.07,0.63,0.6
한전KPS,051600,2023.02.06,0.47,0.22
한전KPS,051600,2023.02.03,0.21,0.38
한전KPS,051600,2023.02.02,0.47,0.2
한전KPS,051600,2023.02.01,0.53,0.15
한전KPS,051600,2023.01.31,1.0,0.03
한전KPS,051600,2023.01.30,0.11,0.19
한전KPS,051600,2023.01.27,0.58,0.28
한전KPS,051600,2023.01.26,0.05,0.07
한전KPS,051600,2023.01.25,0.16,0.04
한전KPS,051600,2023.01.20,0.16,1
한전KPS,051600,2023.01.19,0.21,0.06
한전KPS,051600,2023.01.18,0.37,0.41
한전KPS,051600,2023.01.17,0.21,0.1
한전KPS,051600,2023.01.16,0.89,1.0
한전KPS,051600,2023.01.13,0.32,0.24
한전KPS,051600,2023.01.12,0.42,0.64
한전KPS,051600,2023.01.11,1,0.41
한전KPS,051600,2023.01.10,0.42,0.74
한전KPS,051600,2023.01.09,0.05,0.17
