companyName,companyCode,date,postPerDay,tradingPerDay
지씨셀,144510,2023.02.17,0.1,0.04
지씨셀,144510,2023.02.16,0.07,0.04
지씨셀,144510,2023.02.15,0.17,0.07
지씨셀,144510,2023.02.14,0.04,0.01
지씨셀,144510,2023.02.13,0.04,0.03
지씨셀,144510,2023.02.10,0.03,0.08
지씨셀,144510,2023.02.09,0.16,0.06
지씨셀,144510,2023.02.08,0.08,0.05
지씨셀,144510,2023.02.07,0.02,0.05
지씨셀,144510,2023.02.06,1,0.02
지씨셀,144510,2023.02.03,0.03,0.06
지씨셀,144510,2023.02.02,0.06,0.1
지씨셀,144510,2023.02.01,0.31,0.32
지씨셀,144510,2023.01.31,0.03,0.02
지씨셀,144510,2023.01.30,0.1,0.1
지씨셀,144510,2023.01.27,0.13,0.03
지씨셀,144510,2023.01.26,0.16,0.02
지씨셀,144510,2023.01.25,0.08,0.0
지씨셀,144510,2023.01.20,0.02,0.02
지씨셀,144510,2023.01.19,0.03,0.11
지씨셀,144510,2023.01.18,1,0.01
지씨셀,144510,2023.01.17,0.08,0.06
지씨셀,144510,2023.01.13,0.11,0.06
지씨셀,144510,2023.01.12,0.03,0.06
지씨셀,144510,2023.01.11,0.04,0.09
지씨셀,144510,2023.01.10,0.26,0.14
지씨셀,144510,2023.01.09,0.14,0.08
지씨셀,144510,2023.01.06,0.04,0.04
지씨셀,144510,2023.01.05,0.11,0.03
지씨셀,144510,2023.01.04,0.1,0.02
지씨셀,144510,2023.01.03,0.07,0.04
지씨셀,144510,2023.01.02,0.08,0.06
지씨셀,144510,2022.12.29,0.17,0.04
지씨셀,144510,2022.12.28,0.18,0.05
지씨셀,144510,2022.12.27,0.04,0.05
지씨셀,144510,2022.12.26,0.06,0.03
지씨셀,144510,2022.12.23,0.06,0.03
지씨셀,144510,2022.12.22,0.02,0.03
지씨셀,144510,2022.12.21,0.01,0.02
지씨셀,144510,2022.12.20,0.08,0.02
지씨셀,144510,2022.12.19,0.08,0.0
지씨셀,144510,2022.12.16,0.09,0.04
지씨셀,144510,2022.12.15,0.03,0.02
지씨셀,144510,2022.12.14,0.04,0.05
지씨셀,144510,2022.12.13,0.02,0.03
지씨셀,144510,2022.12.12,0.08,0.05
지씨셀,144510,2022.12.09,0.01,0.03
지씨셀,144510,2022.12.08,0.01,0.07
지씨셀,144510,2022.12.07,0.02,0.04
지씨셀,144510,2022.12.06,0.04,0.05
지씨셀,144510,2022.12.05,0.02,0.14
지씨셀,144510,2022.12.02,0.03,0.03
지씨셀,144510,2022.12.01,0.07,0.12
지씨셀,144510,2022.11.30,0.02,0.01
지씨셀,144510,2022.11.29,1,0.04
