companyName,companyCode,date,postPerDay,tradingPerDay
플리토,300080,2023.02.17,0.09,0.07
플리토,300080,2023.02.16,0.08,0.06
플리토,300080,2023.02.15,0.09,0.08
플리토,300080,2023.02.14,0.06,0.06
플리토,300080,2023.02.13,0.08,0.11
플리토,300080,2023.02.10,0.13,0.13
플리토,300080,2023.02.09,0.12,0.12
플리토,300080,2023.02.08,0.13,0.18
플리토,300080,2023.02.07,0.16,0.22
플리토,300080,2023.02.06,0.21,0.23
플리토,300080,2023.02.03,0.33,0.49
플리토,300080,2023.02.02,0.26,0.37
플리토,300080,2023.02.01,0.22,0.18
플리토,300080,2023.01.31,0.22,0.49
플리토,300080,2023.01.30,0.16,0.53
플리토,300080,2023.01.27,0.08,0.29
플리토,300080,2023.01.26,0.06,0.11
플리토,300080,2023.01.25,0.01,0.19
플리토,300080,2023.01.20,0.01,0.05
플리토,300080,2023.01.19,0.04,0.04
플리토,300080,2023.01.18,0.03,0.07
플리토,300080,2023.01.17,0.06,0.26
플리토,300080,2023.01.16,0.08,0.15
플리토,300080,2023.01.13,0.07,0.14
플리토,300080,2023.01.12,0.02,0.03
플리토,300080,2023.01.11,0.03,0.05
플리토,300080,2023.01.10,0.04,0.12
플리토,300080,2023.01.09,0.0,0.02
플리토,300080,2023.01.06,0.02,0.01
플리토,300080,2023.01.04,0.01,0.0
플리토,300080,2023.01.03,1,0.0
플리토,300080,2022.12.29,0.0,0.01
플리토,300080,2022.12.27,0.02,0.03
플리토,300080,2022.12.26,0.05,0.08
플리토,300080,2022.12.23,1,0.02
플리토,300080,2022.12.22,0.01,0.02
플리토,300080,2022.12.21,0.04,0.05
플리토,300080,2022.12.20,0.02,0.03
플리토,300080,2022.12.19,0.04,0.09
플리토,300080,2022.12.16,0.02,0.02
플리토,300080,2022.12.15,0.03,0.02
플리토,300080,2022.12.14,0.07,0.03
플리토,300080,2022.12.13,0.04,0.02
플리토,300080,2022.12.12,0.09,0.06
플리토,300080,2022.12.09,0.26,0.12
플리토,300080,2022.12.08,0.0,0.01
플리토,300080,2022.11.30,1,0.0
플리토,300080,2022.12.01,1,0.0
플리토,300080,2022.11.29,0.0,0.01
플리토,300080,2022.11.28,0.04,0.04
플리토,300080,2022.11.24,0.0,0.0
플리토,300080,2022.11.23,0.01,0.0
플리토,300080,2022.11.15,1,0.0
플리토,300080,2022.11.14,0.0,0.0
플리토,300080,2022.11.10,1,1
플리토,300080,2022.11.07,1,0.0
플리토,300080,2022.11.02,1,0.0
플리토,300080,2022.10.20,1,0.0
플리토,300080,2022.10.07,1,0.0
플리토,300080,2022.09.26,1,0.01
플리토,300080,2022.09.14,1,0.0
플리토,300080,2022.09.13,0.0,0.01
플리토,300080,2022.09.07,1,0.0
플리토,300080,2022.09.06,1,0.0
플리토,300080,2022.08.30,1,0.0
플리토,300080,2022.08.19,1,0.0
플리토,300080,2022.08.17,1,0.01
플리토,300080,2022.08.16,1,0.01
플리토,300080,2022.08.12,0.0,0.0
플리토,300080,2022.08.11,0.0,0.0
플리토,300080,2022.08.08,1,0.0
플리토,300080,2022.08.03,0.01,0.01
플리토,300080,2022.08.02,1,0.0
플리토,300080,2022.07.27,0.01,0.01
플리토,300080,2022.07.26,0.01,0.01
플리토,300080,2022.07.25,0.01,0.0
플리토,300080,2022.07.21,1,0.0
플리토,300080,2022.07.20,1,0.0
플리토,300080,2022.07.19,1,0.0
플리토,300080,2022.07.07,1,0.0
플리토,300080,2022.07.04,1,0.01
플리토,300080,2022.06.29,0.0,0.0
플리토,300080,2022.06.08,1,0.0
플리토,300080,2022.05.25,1,0.0
플리토,300080,2022.05.20,1,0.0
플리토,300080,2022.05.17,1,0.0
플리토,300080,2022.05.16,1,0.0
플리토,300080,2022.05.06,0.01,0.02
플리토,300080,2022.04.29,1,0.0
플리토,300080,2022.04.28,1,0.0
플리토,300080,2022.04.25,0.0,0.0
플리토,300080,2022.04.22,0.0,0.0
플리토,300080,2022.04.19,1,0.01
플리토,300080,2022.04.18,1,0.0
플리토,300080,2022.04.14,1,0.0
플리토,300080,2022.04.12,1,0.0
플리토,300080,2022.04.08,0.0,0.0
플리토,300080,2022.04.07,1,0.01
플리토,300080,2022.04.05,1,0.0
플리토,300080,2022.04.04,1,0.0
플리토,300080,2022.04.01,0.01,0.0
플리토,300080,2022.03.31,1,0.0
플리토,300080,2022.03.30,0.01,0.0
플리토,300080,2022.03.29,0.01,0.0
플리토,300080,2022.03.25,1,0.0
플리토,300080,2022.03.17,0.0,0.0
플리토,300080,2022.03.16,0.0,0.0
플리토,300080,2022.03.08,1,0.0
플리토,300080,2022.03.07,1,0.0
플리토,300080,2022.03.04,1,0.0
플리토,300080,2022.03.03,0.0,0.0
플리토,300080,2022.02.28,1,0.0
플리토,300080,2022.02.25,0.0,0.01
플리토,300080,2022.02.24,1,0.01
플리토,300080,2022.02.23,0.01,0.01
플리토,300080,2022.02.22,0.0,0.01
플리토,300080,2022.02.18,0.0,0.01
플리토,300080,2022.02.17,0.0,0.01
플리토,300080,2022.02.14,1,0.01
플리토,300080,2022.02.11,1,0.0
플리토,300080,2022.02.10,1,0.0
플리토,300080,2022.02.09,1,0.0
플리토,300080,2022.02.07,1,0.0
플리토,300080,2022.02.04,1,0.0
플리토,300080,2022.02.03,0.0,0.01
플리토,300080,2022.01.27,1,0.01
플리토,300080,2022.01.24,0.01,0.01
플리토,300080,2022.01.21,1,0.01
플리토,300080,2022.01.20,0.0,0.01
플리토,300080,2022.01.18,0.0,0.0
플리토,300080,2022.01.17,1,0.01
플리토,300080,2022.01.14,1,0.01
플리토,300080,2022.01.13,0.0,0.01
플리토,300080,2022.01.11,0.01,0.01
플리토,300080,2022.01.10,1,0.01
플리토,300080,2022.01.07,0.01,0.03
플리토,300080,2022.01.06,0.0,0.02
플리토,300080,2022.01.05,0.06,0.07
플리토,300080,2022.01.04,0.01,0.03
플리토,300080,2022.01.03,0.01,0.04
플리토,300080,2021.12.30,0.05,0.07
플리토,300080,2021.12.29,0.15,0.18
플리토,300080,2021.12.28,0.01,0.05
플리토,300080,2021.12.27,0.02,0.03
플리토,300080,2021.12.24,0.02,0.04
플리토,300080,2021.12.23,0.24,0.27
플리토,300080,2021.12.22,1,0.04
플리토,300080,2021.12.21,0.0,0.01
플리토,300080,2021.12.20,0.01,0.02
플리토,300080,2021.12.17,1,0.01
플리토,300080,2021.12.16,1,0.01
플리토,300080,2021.12.15,0.01,0.02
