companyName,companyCode,date,postPerDay,tradingPerDay
NAVER,035420,2023.02.17,0.25,0.18
NAVER,035420,2023.02.16,0.12,0.2
NAVER,035420,2023.02.15,0.39,0.38
NAVER,035420,2023.02.14,0.14,0.12
NAVER,035420,2023.02.13,0.19,0.33
NAVER,035420,2023.02.10,0.45,0.37
NAVER,035420,2023.02.09,0.58,0.43
NAVER,035420,2023.02.08,0.44,0.51
NAVER,035420,2023.02.07,0.08,0.23
NAVER,035420,2023.02.06,0.23,0.36
NAVER,035420,2023.02.03,1.0,1.0
NAVER,035420,2023.02.02,0.34,0.31
NAVER,035420,2023.02.01,0.09,0.16
NAVER,035420,2023.01.31,0.12,0.24
NAVER,035420,2023.01.30,0.08,0.29
NAVER,035420,2023.01.27,0.27,0.29
NAVER,035420,2023.01.26,0.08,0.17
NAVER,035420,2023.01.25,0.14,0.21
NAVER,035420,2023.01.20,0.09,0.13
NAVER,035420,2023.01.19,1,0.01
NAVER,035420,2023.01.18,1,0.03
NAVER,035420,2023.01.17,0.28,0.2
NAVER,035420,2023.01.16,0.24,0.16
NAVER,035420,2023.01.13,0.26,0.16
NAVER,035420,2023.01.12,0.24,0.14
NAVER,035420,2023.01.11,0.26,0.23
NAVER,035420,2023.01.10,0.2,0.15
NAVER,035420,2023.01.09,0.34,0.26
NAVER,035420,2023.01.06,0.19,0.12
NAVER,035420,2023.01.05,0.17,0.25
NAVER,035420,2023.01.04,0.11,0.14
NAVER,035420,2023.01.03,0.17,0.05
NAVER,035420,2023.01.02,0.09,1
