companyName,companyCode,salesFourYearsAgo,salesThreeYearsAgo,salesTwoYearsAgo,salesOneYearsAgo
한국전력,015760,591729.0,585693.0,605748.0,707554.0
한전산업,130660,2896.0,3293.0,3211.0,0.0
한전기술,052690,4486.0,4317.0,4331.0,4522.0
한전KPS,051600,12469.0,13032.0,13806.0,14305.0
