companyName,companyCode,averageSalesGrowthRate,averageOperatingProfitsGrowthRate
골드퍼시픽,038530,0.59,1.0
서울리거,043710,1,1
지씨셀,144510,0.49,0.12
신테카바이오,226330,0.28,0.27
네오펙트,290660,1.0,0.02
